office,candidate1,candidate2,candidate3,OpenSeat,candidate1_website,candidate2_website,candidate3_website,SUPER_FIPS,PERSONS,PERSONS18,PRETOT24,PREDEM24,PREREP24
County Supervisor - District 1,Colin Barushok,,,FALSE,https://www.colinbarushok.com/,,,5502501,15825,15242,9340,7689,1484
County Supervisor - District 2,Heidi M. Wegleitner,Carlos Rodríguez Lewison,,FALSE,https://www.facebook.com/p/Re-elect-Heidi-Wegleitner-for-Dane-County-Supervisor-D2-100057700345775/,,,5502502,15761,14284,11343,10238,821
County Supervisor - District 3,Analiese Eicher,,,FALSE,https://www.facebook.com/analiesefordane,,,5502503,15320,11467,8909,6331,2425
County Supervisor - District 4,Matt Veldran,,,FALSE,https://www.facebook.com/voteveldran/,,,5502504,15205,11745,7033,5855,1038
County Supervisor - District 5,Henry Fries,,,FALSE,,,,5502505,14973,13413,7394,5690,1568
County Supervisor - District 6,Yogesh Chawla,,,FALSE,https://yogeshchawla.com/,,,5502506,14575,12596,10765,9914,632
County Supervisor - District 7,Erin Welsh,John E. Fons,,FALSE,https://www.welshfordane.com/,https://www.facebook.com/profile.php?id=61585855715370,,5502507,15403,12567,11382,10071,1139
County Supervisor - District 8,Jeffrey M Glazer,,,FALSE,,,,5502508,15300,12086,8417,6783,1430
County Supervisor - District 9,Simran Arora,Aria X. Trucios,,TRUE,https://www.facebook.com/people/Simran-For-Dane-County-District-9/61584976404126/,https://www.facebook.com/people/Aria-X-Trucios/61586580899369/,,5502509,14678,11718,11556,8566,2761
County Supervisor - District 10,Keith Furman,,,FALSE,https://www.keithfurman.com/,,,5502510,15890,13272,11154,9684,1276
County Supervisor - District 11,Richelle Andrae,,,FALSE,https://www.richelle4danecounty.org/,,,5502511,14658,12351,9399,8373,878
County Supervisor - District 12,Tommy Rylander,"Otis Harris, Jr.",Sean Burke,FALSE,https://www.facebook.com/rylanderdanecounty,https://www.facebook.com/profile.php?id=61585648113967,https://www.facebook.com/BurkeforDaneCounty,5502512,14873,11813,7972,6488,1318
County Supervisor - District 13,Jay Brower,,,FALSE,,,,5502513,15634,14383,9400,7389,1869
County Supervisor - District 14,Anthony J. Gray,,,FALSE,,,,5502514,15177,11907,10155,8160,1781
County Supervisor - District 15,Rick Cruz,Amy Larson,Anthony Nino Amato,TRUE,https://www.facebook.com/profile.php?id=61584134881628,https://www.amyfordane.com/,,5502515,14552,12094,9910,7842,1888
County Supervisor - District 16,Rick Rose,Goodwill Chekwube Obieze,,FALSE,https://www.facebook.com/rickrosefordanecounty/,https://www.facebook.com/GoodwillforDaneCountyBoard/,,5502516,14826,12060,11306,8624,2472
County Supervisor - District 17,Dan Blazewicz,,,FALSE,https://danfordane.com/,,,5502517,15752,12706,10128,8355,1599
County Supervisor - District 18,Michele Ritt,,,FALSE,,,,5502518,15270,11916,8309,6852,1295
County Supervisor - District 19,Brenda Yang,,,FALSE,,,,5502519,15301,11147,9216,6331,2739
County Supervisor - District 20,Jeff Weigand,Paula Brandmeier,,FALSE,https://www.facebook.com/jeffweigandforcountyboard/,https://www.facebook.com/brandmeier4danecounty,,5502520,14529,11001,9875,5341,4377
County Supervisor - District 21,Jeffrey Kroning,,,FALSE,,,,5502521,15203,12357,10916,7660,3083
County Supervisor - District 22,Stephen W Ratzlaff J.R.,Gussie Lewis,,TRUE,https://www.facebook.com/profile.php?id=61573006020990,https://www.facebook.com/profile.php?id=61586671091109,,5502522,15244,11117,10029,6310,3565
County Supervisor - District 23,Chuck Erickson,,,FALSE,https://www.facebook.com/profile.php?id=100058247732186,,,5502523,14685,11768,8147,6929,1043
County Supervisor - District 24,Sarah Smith,,,FALSE,,,,5502524,15386,12467,10224,8342,1727
County Supervisor - District 25,David Boetcher,Dick Greffin,,FALSE,https://www.facebook.com/dboetcherDane25/,,,5502525,14887,10573,10299,6433,3703
County Supervisor - District 26,Lisa D. Jackson,Mitch Herl,,FALSE,https://www.facebook.com/profile.php?id=61554357185006,,,5502526,15185,11899,10036,7979,1886
County Supervisor - District 27,Kierstin Huelsemann,,,FALSE,,,,5502527,15853,11785,7712,6123,1419
County Supervisor - District 28,Michele Doolan,Aaron Linas,Nathan McGree,FALSE,https://www.facebook.com/Doolan4dane,,,5502528,15350,12005,10534,6368,4008
County Supervisor - District 29,Don Postler,,,FALSE,,,,5502529,14774,11056,10365,6143,4036
County Supervisor - District 30,Patrick Downing,Jeremy J Pings,,FALSE,https://www.facebook.com/VotePatDowning/,,,5502530,15120,11510,10570,6899,3502
County Supervisor - District 31,Jerry Bollig,,,FALSE,,,,5502531,15330,11288,10594,7240,3177
County Supervisor - District 32,Chad Kemp,,,FALSE,,,,5502532,15344,11241,10816,7839,2751
County Supervisor - District 33,Donald D. Dantzler Jr.,,,TRUE,,,,5502533,15146,12683,10967,8469,2301
County Supervisor - District 34,Patrick Miles,,,FALSE,,,,5502534,15575,11935,10969,7478,3328
County Supervisor - District 35,Michael Engelberger,,,FALSE,,,,5502535,15444,12063,10278,6947,3223
County Supervisor - District 36,David Peterson,,,FALSE,,,,5502536,14699,11200,10358,6656,3510
County Supervisor - District 37,Kerry Marren,Katie Michel,,FALSE,https://www.facebook.com/p/Marren-for-Dane-61554205954843/,https://www.facebook.com/profile.php?id=61585894890147,,5502537,14777,11691,10152,5604,4402
