city,district,alder
Madison,1,John Duncan
Madison,2,Will Ochowicz
Madison,3,Derek Field
Madison,4,Mike Verveer
Madison,5,Regina Vidaver
Madison,6,Davy Mayer
Madison,7,Badri Lankella
Madison,8,MGR Govindarajan
Madison,9,Joann Pritchett
Madison,10,Yannette Figueroa Cole
Madison,11,Bill Tischler
Madison,12,Julia Matthews
Madison,13,Tag Evers
Madison,14,Isadore Knox
Madison,15,Dina Nina Martinez-Rutherford
Madison,16,"Sean O'Brien"
Madison,17,Sabrina Madison
Madison,18,Carmella Glenn
Madison,19,John P. Guequierre
Madison,20,Barbara Harrington-McKinney
